,MasterGame,Team1,Team2,T1S,T1G,T1B,T2S,T2G,T2B,venue,localtime,round,is_final,year,T1SS,T2SS,ssmargin,Own_Game_Number,Opp_Game_Number,date,Margin,T1_Days_Since_Last_Game,T2_Days_Since_Last_Game,T1_Xscore,T2_Xscore,T1_Game_at_Venue,T2_Game_at_Venue,T1status,T2status,Previous_Own_Orating,Previous_Own_Drating,Previous_Opp_Orating,Previous_Opp_Drating,New_Own_Orating,New_Own_Drating,New_Opp_Orating,New_Opp_Drating,Expected_Margin,Win_Prob
37,19,Fremantle,Hawthorn,79,11,13,137,21,11,M.C.G.,2014-04-04 19:50:00,3,0,2014,24,32,8,3,3,2014-04-04 19:50:00,-58,6.0,7.0,79.32,110.42,1,1,Away,Home,17.99,46.93,39.69,3.19,7.98,28.76,57.86,13.2,11.02,0.56
38,20,Adelaide,Sydney,71,9,17,134,21,8,Adelaide Oval,2014-04-05 13:40:00,3,0,2014,26,29,3,3,3,2014-04-05 14:10:00,-63,6.0,6.0,93.93,98.27,2,1,Home,Away,-32.79,-26.98,-32.71,-8.55,-19.96,-36.52,-23.18,-21.38,-9.25,0.45
39,20,Sydney,Adelaide,134,21,8,71,9,17,Adelaide Oval,2014-04-05 13:40:00,3,0,2014,29,26,3,3,3,2014-04-05 14:10:00,63,6.0,6.0,98.27,93.93,1,2,Away,Home,-32.71,-8.55,-32.79,-26.98,-23.18,-21.38,-19.96,-36.52,9.25,0.55
40,21,Western Bulldogs,Richmond,100,15,10,98,15,8,Docklands,2014-04-05 13:45:00,3,0,2014,25,23,2,3,3,2014-04-05 13:45:00,2,5.0,8.0,96.03,81.29,2,1,Home,Away,-44.21,-29.45,-17.39,-7.7,-25.87,-21.67,-25.17,-26.03,-24.28,0.38
41,21,Richmond,Western Bulldogs,98,15,8,100,15,10,Docklands,2014-04-05 13:45:00,3,0,2014,23,25,2,3,3,2014-04-05 13:45:00,-2,8.0,5.0,81.29,96.03,1,2,Away,Home,-17.39,-7.7,-44.21,-29.45,-25.17,-26.03,-25.87,-21.67,24.28,0.62
42,22,Brisbane Lions,Gold Coast,61,9,7,114,17,12,Carrara,2014-04-05 15:40:00,3,0,2014,16,29,13,3,3,2014-04-05 16:40:00,-53,6.0,6.0,60.47,94.58,1,2,Away,Home,-13.04,-18.32,-15.7,15.65,-21.12,-22.6,-11.42,23.72,-15.66,0.42
43,22,Gold Coast,Brisbane Lions,114,17,12,61,9,7,Carrara,2014-04-05 15:40:00,3,0,2014,29,16,13,3,3,2014-04-05 16:40:00,53,6.0,6.0,94.58,60.47,2,1,Home,Away,-15.7,15.65,-13.04,-18.32,-11.42,23.72,-21.12,-22.6,15.66,0.58
44,23,West Coast,St Kilda,83,12,11,58,8,10,Subiaco,2014-04-05 16:40:00,3,0,2014,23,18,5,3,3,2014-04-05 19:40:00,25,6.0,7.0,89.92,66.46,2,1,Home,Away,39.76,48.42,-19.7,16.31,33.95,39.3,-10.57,22.12,45.79,0.72
45,23,St Kilda,West Coast,58,8,10,83,12,11,Subiaco,2014-04-05 16:40:00,3,0,2014,18,23,5,3,3,2014-04-05 19:40:00,-25,7.0,6.0,66.46,89.92,1,2,Away,Home,-19.7,16.31,39.76,48.42,-10.57,22.12,33.95,39.3,-45.79,0.28
46,24,Geelong,Collingwood,87,12,15,76,11,10,M.C.G.,2014-04-05 19:40:00,3,0,2014,27,21,6,3,3,2014-04-05 19:40:00,11,6.0,7.0,91.86,64.7,1,1,Away,Home,6.21,32.17,-12.93,-6.46,5.3,31.92,-12.68,-5.55,28.88,0.65
47,24,Collingwood,Geelong,76,11,10,87,12,15,M.C.G.,2014-04-05 19:40:00,3,0,2014,21,27,6,3,3,2014-04-05 19:40:00,-11,7.0,6.0,64.7,91.86,1,1,Home,Away,-12.93,-6.46,6.21,32.17,-12.68,-5.55,5.3,31.92,-28.88,0.35
48,25,Greater Western Sydney,Melbourne,79,10,19,47,7,5,Sydney Showground,2014-04-06 13:10:00,3,0,2014,29,12,17,3,3,2014-04-06 13:10:00,32,7.0,6.0,83.47,35.48,2,1,Home,Away,8.75,15.92,-43.45,8.21,6.29,30.45,-57.98,10.67,29.96,0.65
49,25,Melbourne,Greater Western Sydney,47,7,5,79,10,19,Sydney Showground,2014-04-06 13:10:00,3,0,2014,12,29,17,3,3,2014-04-06 13:10:00,-32,6.0,7.0,35.48,83.47,1,2,Away,Home,-43.45,8.21,8.75,15.92,-57.98,10.67,6.29,30.45,-29.96,0.35
50,26,North Melbourne,Port Adelaide,97,14,13,90,13,12,Docklands,2014-04-06 16:10:00,3,0,2014,27,25,2,3,3,2014-04-06 16:10:00,7,6.0,7.0,103.4,94.42,3,2,Home,Away,-31.24,13.08,27.71,13.06,-5.36,12.93,27.86,-12.81,-29.47,0.35
51,26,Port Adelaide,North Melbourne,90,13,12,97,14,13,Docklands,2014-04-06 16:10:00,3,0,2014,25,27,2,3,3,2014-04-06 16:10:00,-7,7.0,6.0,94.42,103.4,2,3,Away,Home,27.71,13.06,-31.24,13.08,27.86,-12.81,-5.36,12.93,29.47,0.65
52,27,Essendon,Carlton,138,21,12,57,8,9,M.C.G.,2014-04-06 19:10:00,3,0,2014,33,17,16,3,3,2014-04-06 19:10:00,81,8.0,9.0,113.32,57.73,1,2,Home,Away,-3.47,31.39,-0.1,-20.27,8.6,40.36,-9.07,-32.34,24.14,0.62
53,27,Carlton,Essendon,57,8,9,138,21,12,M.C.G.,2014-04-06 19:10:00,3,0,2014,17,33,16,3,3,2014-04-06 19:10:00,-81,9.0,8.0,57.73,113.32,2,1,Away,Home,-0.1,-20.27,-3.47,31.39,-9.07,-32.34,8.6,40.36,-24.14,0.38
54,28,Collingwood,Richmond,110,16,14,72,10,12,M.C.G.,2014-04-11 19:50:00,4,0,2014,30,22,8,4,4,2014-04-11 19:50:00,38,6.0,6.0,102.38,58.74,2,2,Away,Home,-12.68,-5.55,-25.17,-26.03,-7.52,5.18,-35.9,-31.2,16.48,0.59
55,28,Richmond,Collingwood,72,10,12,110,16,14,M.C.G.,2014-04-11 19:50:00,4,0,2014,22,30,8,4,4,2014-04-11 19:50:00,-38,6.0,6.0,58.74,102.38,2,2,Home,Away,-25.17,-26.03,-12.68,-5.55,-35.9,-31.2,-7.52,5.18,-16.48,0.41
56,29,Brisbane Lions,Port Adelaide,46,7,4,159,24,15,Adelaide Oval,2014-04-12 13:40:00,4,0,2014,11,39,28,4,4,2014-04-12 14:10:00,-113,6.0,5.0,45.08,143.13,1,2,Away,Home,-21.12,-22.6,27.86,-12.81,-43.15,-40.75,46.01,9.22,-29.38,0.35
57,29,Port Adelaide,Brisbane Lions,159,24,15,46,7,4,Adelaide Oval,2014-04-12 13:40:00,4,0,2014,39,11,28,4,4,2014-04-12 14:10:00,113,5.0,6.0,143.13,45.08,2,1,Home,Away,27.86,-12.81,-21.12,-22.6,46.01,9.22,-43.15,-40.75,29.38,0.65
58,30,Carlton,Melbourne,58,7,16,81,12,9,M.C.G.,2014-04-12 13:45:00,4,0,2014,23,21,2,4,4,2014-04-12 13:45:00,-23,5.0,6.0,74.96,68.93,3,2,Home,Away,-9.07,-32.34,-57.98,10.67,-10.27,-29.34,-60.98,11.87,2.95,0.52
59,30,Melbourne,Carlton,81,12,9,58,7,16,M.C.G.,2014-04-12 13:45:00,4,0,2014,21,23,2,4,4,2014-04-12 13:45:00,23,6.0,5.0,68.93,74.96,2,3,Away,Home,-57.98,10.67,-9.07,-32.34,-60.98,11.87,-10.27,-29.34,-2.95,0.48
60,31,Western Bulldogs,Greater Western Sydney,110,17,8,83,12,11,UNSW Canberra Oval,2014-04-12 16:40:00,4,0,2014,25,23,2,4,4,2014-04-12 16:40:00,27,7.0,6.0,95.05,81.21,1,1,Away,Home,-25.87,-21.67,6.29,30.45,-4.61,-10.17,-5.21,9.19,-42.14,0.29
61,31,Greater Western Sydney,Western Bulldogs,83,12,11,110,17,8,UNSW Canberra Oval,2014-04-12 16:40:00,4,0,2014,23,25,2,4,4,2014-04-12 16:40:00,-27,6.0,7.0,81.21,95.05,1,1,Home,Away,6.29,30.45,-25.87,-21.67,-5.21,9.19,-4.61,-10.17,42.14,0.71
62,32,Hawthorn,Gold Coast,148,23,10,49,7,7,Carrara,2014-04-12 19:40:00,4,0,2014,33,14,19,4,4,2014-04-12 19:40:00,99,7.0,7.0,123.54,49.36,1,3,Away,Home,57.86,13.2,-11.42,23.72,69.33,27.96,-26.18,12.26,29.39,0.65
63,32,Gold Coast,Hawthorn,49,7,7,148,23,10,Carrara,2014-04-12 19:40:00,4,0,2014,14,33,19,4,4,2014-04-12 19:40:00,-99,7.0,7.0,49.36,123.54,3,1,Home,Away,-11.42,23.72,57.86,13.2,-26.18,12.26,69.33,27.96,-29.39,0.35
64,33,Geelong,West Coast,107,16,11,32,4,8,GMHBA Stadium,2014-04-12 19:40:00,4,0,2014,27,12,15,4,4,2014-04-12 19:40:00,75,7.0,7.0,106.53,41.19,2,1,Home,Away,5.3,31.92,33.95,39.3,26.75,59.26,6.62,17.85,-18.01,0.41
65,33,West Coast,Geelong,32,4,8,107,16,11,GMHBA Stadium,2014-04-12 19:40:00,4,0,2014,12,27,15,4,4,2014-04-12 19:40:00,-75,7.0,7.0,41.19,106.53,1,2,Away,Home,33.95,39.3,5.3,31.92,6.62,17.85,26.75,59.26,18.01,0.59
66,34,North Melbourne,Sydney,91,13,13,48,6,12,S.C.G.,2014-04-13 13:10:00,4,0,2014,26,18,8,4,4,2014-04-13 13:10:00,43,6.0,7.0,87.98,48.71,1,1,Away,Home,-5.36,12.93,-23.18,-21.38,-9.41,24.7,-34.95,-17.33,26.06,0.63
67,34,Sydney,North Melbourne,48,6,12,91,13,13,S.C.G.,2014-04-13 13:10:00,4,0,2014,18,26,8,4,4,2014-04-13 13:10:00,-43,7.0,6.0,48.71,87.98,1,1,Home,Away,-23.18,-21.38,-5.36,12.93,-34.95,-17.33,-9.41,24.7,-26.06,0.37
68,35,Fremantle,Essendon,113,18,5,60,9,6,Subiaco,2014-04-13 14:40:00,4,0,2014,23,15,8,4,4,2014-04-13 16:40:00,53,8.0,6.0,85.55,53.51,2,1,Home,Away,7.98,28.76,8.6,40.36,16.68,42.39,-5.03,31.67,-6.11,0.47
69,35,Essendon,Fremantle,60,9,6,113,18,5,Subiaco,2014-04-13 14:40:00,4,0,2014,15,23,8,4,4,2014-04-13 16:40:00,-53,6.0,8.0,53.51,85.55,1,2,Away,Home,8.6,40.36,7.98,28.76,-5.03,31.67,16.68,42.39,6.11,0.53
70,36,Adelaide,St Kilda,136,20,16,50,7,8,Docklands,2014-04-13 15:20:00,4,0,2014,36,15,21,4,4,2014-04-13 15:20:00,86,8.0,7.0,120.96,51.85,1,3,Away,Home,-19.96,-36.52,-10.57,22.12,12.3,-8.42,-38.67,-10.14,-34.02,0.33
71,36,St Kilda,Adelaide,50,7,8,136,20,16,Docklands,2014-04-13 15:20:00,4,0,2014,15,36,21,4,4,2014-04-13 15:20:00,-86,7.0,8.0,51.85,120.96,3,1,Home,Away,-10.57,22.12,-19.96,-36.52,-38.67,-10.14,12.3,-8.42,34.02,0.67
72,37,Brisbane Lions,Richmond,63,9,9,106,15,16,Gabba,2014-04-17 19:50:00,5,0,2014,18,31,13,5,5,2014-04-17 19:50:00,-43,5.0,6.0,68.96,100.61,2,1,Home,Away,-43.15,-40.75,-35.9,-31.2,-49.26,-46.54,-30.11,-25.08,-8.4,0.46
73,37,Richmond,Brisbane Lions,106,15,16,63,9,9,Gabba,2014-04-17 19:50:00,5,0,2014,31,18,13,5,5,2014-04-17 19:50:00,43,6.0,5.0,100.61,68.96,1,2,Away,Home,-35.9,-31.2,-43.15,-40.75,-30.11,-25.08,-49.26,-46.54,8.4,0.54
74,38,Collingwood,North Melbourne,93,13,15,58,8,10,M.C.G.,2014-04-19 13:40:00,5,0,2014,28,18,10,5,5,2014-04-19 13:40:00,35,7.0,6.0,104.18,48.17,3,1,Home,Away,-7.52,5.18,-9.41,24.7,9.58,21.26,-25.49,7.6,-8.82,0.45
75,38,North Melbourne,Collingwood,58,8,10,93,13,15,M.C.G.,2014-04-19 13:40:00,5,0,2014,18,28,10,5,5,2014-04-19 13:40:00,-35,6.0,7.0,48.17,104.18,1,3,Away,Home,-9.41,24.7,-7.52,5.18,-25.49,7.6,9.58,21.26,8.82,0.55
76,39,Fremantle,Sydney,75,11,9,92,13,14,S.C.G.,2014-04-19 16:40:00,5,0,2014,20,27,7,5,5,2014-04-19 16:40:00,-17,6.0,6.0,59.37,95.15,1,2,Away,Home,16.68,42.39,-34.95,-17.33,-6.11,18.36,-10.92,5.45,55.68,0.76
77,39,Sydney,Fremantle,92,13,14,75,11,9,S.C.G.,2014-04-19 16:40:00,5,0,2014,27,20,7,5,5,2014-04-19 16:40:00,17,6.0,6.0,95.15,59.37,2,1,Home,Away,-34.95,-17.33,16.68,42.39,-10.92,5.45,-6.11,18.36,-55.68,0.24
78,40,West Coast,Port Adelaide,56,7,14,70,10,10,Subiaco,2014-04-19 17:40:00,5,0,2014,21,20,1,5,5,2014-04-19 19:40:00,-14,7.0,7.0,80.52,70.84,3,1,Home,Away,6.62,17.85,46.01,9.22,4.03,33.27,30.59,11.81,-15.39,0.42
79,40,Port Adelaide,West Coast,70,10,10,56,7,14,Subiaco,2014-04-19 17:40:00,5,0,2014,20,21,1,5,5,2014-04-19 19:40:00,14,7.0,7.0,70.84,80.52,1,3,Away,Home,46.01,9.22,6.62,17.85,30.59,11.81,4.03,33.27,15.39,0.58
80,41,St Kilda,Essendon,81,11,15,65,9,11,Docklands,2014-04-19 19:40:00,5,0,2014,26,20,6,5,5,2014-04-19 19:40:00,16,6.0,6.0,77.85,69.25,4,3,Away,Home,-38.67,-10.14,-5.03,31.67,-25.29,0.2,-15.36,18.29,-37.72,0.31
81,41,Essendon,St Kilda,65,9,11,81,11,15,Docklands,2014-04-19 19:40:00,5,0,2014,20,26,6,5,5,2014-04-19 19:40:00,-16,6.0,6.0,69.25,77.85,3,4,Home,Away,-5.03,31.67,-38.67,-10.14,-15.36,18.29,-25.29,0.2,37.72,0.69
82,42,Adelaide,Greater Western Sydney,137,21,11,72,10,12,Adelaide Oval,2014-04-20 12:40:00,5,0,2014,32,22,10,5,5,2014-04-20 13:10:00,65,6.0,7.0,124.17,64.76,3,1,Home,Away,12.3,-8.42,-5.21,9.19,30.59,3.72,-17.36,-9.1,-0.05,0.5
83,42,Greater Western Sydney,Adelaide,72,10,12,137,21,11,Adelaide Oval,2014-04-20 12:40:00,5,0,2014,22,32,10,5,5,2014-04-20 13:10:00,-65,7.0,6.0,64.76,124.17,1,3,Away,Home,-5.21,9.19,12.3,-8.42,-17.36,-9.1,30.59,3.72,0.05,0.5
84,43,Melbourne,Gold Coast,78,11,12,86,11,20,M.C.G.,2014-04-20 15:20:00,5,0,2014,23,31,8,5,5,2014-04-20 15:20:00,-8,8.0,7.0,76.33,94.11,3,1,Home,Away,-60.98,11.87,-26.18,12.26,-47.64,-1.57,-12.74,-1.09,-17.59,0.41
85,43,Gold Coast,Melbourne,86,11,20,78,11,12,M.C.G.,2014-04-20 15:20:00,5,0,2014,31,23,8,5,5,2014-04-20 15:20:00,8,7.0,8.0,94.11,76.33,1,3,Away,Home,-26.18,12.26,-60.98,11.87,-12.74,-1.09,-47.64,-1.57,17.59,0.59
86,44,Western Bulldogs,Carlton,91,13,13,119,18,11,Docklands,2014-04-20 16:40:00,5,0,2014,26,29,3,5,5,2014-04-20 16:40:00,-28,8.0,8.0,92.8,106.89,3,2,Home,Away,-4.61,-10.17,-10.27,-29.34,-7.91,-20.44,-0.0,-26.04,12.41,0.56
